artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
Plies Featuring Akon,Hypnotized,4/19/08,23,0,17,40,Re-Entry,2/23/08,22,41,22,44,-3
A Great Big World & Christina Aguilera,Say Something,4/19/14,7,26,20,27,-1,6/19/10,1,31,31,35,-4
Juvenile Featuring Soulja Slim,Slow Motion,11/20/04,10,34,20,38,-4,8/1/15,9,14,26,14,0
Crime Mob Featuring Lil Scrappy,Rock Yo Hips,7/21/07,39,39,2,40,-1,7/28/07,8,39,40,48,-9
Toni Braxton,He Wasn t Man Enough,12/2/00,7,29,26,33,-4,9/2/00,1,41,27,49,-8
Ludacris,How Low,5/8/10,24,0,14,39,Re-Entry,5/29/10,2,30,28,46,-16
Nelly,Hot In Herre,11/2/02,1,31,26,32,-1,11/16/02,1,40,29,50,-10
Eminem,Berzerk,11/9/13,18,25,9,37,-12,2/1/14,2,24,21,24,0
Trey Songz Featuring Nicki Minaj,Bottoms Up,2/26/11,11,28,20,30,-2,3/5/11,39,41,32,42,-1
Whitney Houston,"I Will Always Love You (From The Bodyguard"")""",3/27/93,1,38,19,40,-2,4/17/93,1,45,23,47,-2
Silk,Freak Me,8/21/93,7,39,21,38,1,7/24/93,1,37,23,50,-13
George Michael,Fastlove,7/20/96,14,34,12,35,-1,7/13/96,44,44,16,48,-4
Beyonce Featuring Jay-Z,Deja Vu,8/19/06,14,24,8,35,-11,3/18/17,25,23,12,22,1
T-Pain Featuring Akon,Bartender,12/8/07,9,34,20,33,1,11/3/07,9,45,22,46,-1
Justin Timberlake,Take Back The Night,10/5/13,14,23,11,36,-13,11/16/13,8,37,17,41,-4
Boyz II Men,A Song For Mama,3/21/98,32,35,6,40,-5,6/20/98,1,44,28,42,2
Blink-182,I Miss You,7/10/04,15,36,15,40,-4,3/16/02,37,41,8,46,-5
Lupe Fiasco Featuring Ed Sheeran,Old School Love,1/25/14,34,38,7,37,1,2/15/14,28,40,13,50,-10
Thalia Featuring Fat Joe,I Want You,9/27/03,19,20,15,30,-10,12/8/07,32,33,11,39,-6
Quad City DJ's,C'mon N' Ride It (The Train),12/28/96,4,20,26,25,-5,10/26/96,15,45,35,48,-3
Boyz II Men,"In The Still Of The Nite (From The Jacksons"")""",4/3/93,2,35,21,38,-3,2/13/93,4,21,20,31,-10
Babyface,Every Time I Close My Eyes,6/28/97,12,26,26,29,-3,7/12/97,5,42,24,39,3
Nick Cannon Featuring R. Kelly,Gigolo,4/24/04,20,35,13,39,-4,3/13/04,21,41,23,39,2
Aaliyah,At Your Best (You Are Love),11/19/94,40,0,1,40,New,1/14/95,2,50,20,46,4
Freak Nasty,Da  Dip,8/2/97,32,37,12,39,-2,7/26/97,20,41,39,48,-7
Eminem,The Real Slim Shady,9/2/00,13,32,16,37,-5,7/29/00,11,25,18,43,-18
Ne-Yo,When You're Mad,6/17/06,17,30,11,33,-3,8/19/06,4,28,24,36,-8
Tiesto Featuring Matthew Koma,Wasted,8/30/14,21,32,11,40,-8,3/20/10,7,49,39,50,-1
Spice Girls,Too Much,4/4/98,21,31,9,40,-9,11/9/13,23,43,5,46,-3
Pretty Ricky,On The Hotline,4/28/07,29,30,9,34,-4,4/28/07,6,39,23,48,-9
The Pussycat Dolls Featuring Busta Rhymes,Don't Cha,11/19/05,2,17,28,17,0,9/24/05,8,14,21,25,-11
BLACKstreet,Don t Leave Me,8/9/97,21,31,20,36,-5,5/25/91,34,34,11,39,-5
Mr. Probz,Waves,1/31/15,5,9,22,12,-3,5/7/16,46,30,3,37,-7
Ludacris,Get Back,3/12/05,34,37,10,39,-2,3/12/05,9,31,19,45,-14
Flo Rida Featuring Pitbull,Can't Believe It,9/28/13,37,39,4,37,2,3/7/09,2,48,33,48,0
Ciara,Promise,3/3/07,40,36,4,37,-1,6/11/16,19,42,20,38,4
Bow Wow Featuring T-Pain & Johnta Austin,Outta My System,6/30/07,27,29,9,32,-3,7/21/07,12,36,22,43,-7
Brandy,Right Here (Departed),1/17/09,21,30,11,31,-1,12/6/08,22,38,15,50,-12
Ying Yang Twins Featuring Lil Jon & The East Side Boyz,Salt Shaker,3/6/04,38,0,1,38,New,6/26/04,9,45,39,49,-4
Trick Daddy Featuring The SNS Express,Take It To Da House,7/28/01,29,29,9,34,-5,6/2/01,23,39,16,48,-9
Zhane,Groove Thang,5/7/94,33,33,7,40,-7,5/28/94,2,46,20,49,-3
