date,artist,title,peakPos,lastPos,weeks,rank,change,list
2008-07-26,Jordin Sparks Duet With Chris Brown,No Air,2,16,25,19,-3,pop
2008-07-19,Jordin Sparks Duet With Chris Brown,No Air,2,16,24,16,0,pop
2008-07-12,Jordin Sparks Duet With Chris Brown,No Air,2,13,23,16,-3,pop
2008-07-05,Jordin Sparks Duet With Chris Brown,No Air,2,10,22,13,-3,pop
2008-06-28,Jordin Sparks Duet With Chris Brown,No Air,2,6,21,10,-4,pop
2008-06-21,Jordin Sparks Duet With Chris Brown,No Air,2,5,20,6,-1,pop
2008-06-14,Jordin Sparks Duet With Chris Brown,No Air,2,3,19,5,-2,pop
2008-06-07,Jordin Sparks Duet With Chris Brown,No Air,2,2,18,3,-1,pop
2008-05-31,Jordin Sparks Duet With Chris Brown,No Air,2,2,17,2,0,pop
2008-05-24,Jordin Sparks Duet With Chris Brown,No Air,2,2,16,2,0,pop
2008-05-17,Jordin Sparks Duet With Chris Brown,No Air,2,2,15,2,0,pop
2008-05-10,Jordin Sparks Duet With Chris Brown,No Air,2,2,14,2,0,pop
2008-05-03,Jordin Sparks Duet With Chris Brown,No Air,2,2,13,2,0,pop
2008-04-26,Jordin Sparks Duet With Chris Brown,No Air,2,3,12,2,+1,pop
2008-04-19,Jordin Sparks Duet With Chris Brown,No Air,2,4,11,3,+1,pop
2008-04-12,Jordin Sparks Duet With Chris Brown,No Air,2,7,10,4,+3,pop
2008-04-05,Jordin Sparks Duet With Chris Brown,No Air,2,7,9,7,0,pop
2008-03-29,Jordin Sparks Duet With Chris Brown,No Air,2,8,8,7,+1,pop
2008-03-22,Jordin Sparks Duet With Chris Brown,No Air,2,13,7,8,+5,pop
2008-03-15,Jordin Sparks Duet With Chris Brown,No Air,2,17,6,13,+4,pop
2008-03-08,Jordin Sparks Duet With Chris Brown,No Air,2,19,5,17,+2,pop
2008-03-01,Jordin Sparks Duet With Chris Brown,No Air,2,25,4,19,+6,pop
2008-02-23,Jordin Sparks Duet With Chris Brown,No Air,2,32,3,25,+7,pop
2008-02-16,Jordin Sparks Duet With Chris Brown,No Air,2,34,2,32,+2,pop
