date	artist	title	peakPos	lastPos	weeks	rank	change
2017-03-25	"Migos Featuring Lil Uzi Vert"	"Bad And Boujee"	1	1	16	1	0
2017-03-25	"Drake"	"Fake Love"	1	2	18	2	0
2017-03-25	"Big Sean"	"Bounce Back"	3	3	17	3	0
2017-03-25	"Chris Brown Featuring Usher & Gucci Mane"	"Party"	4	4	11	4	0
2017-03-25	"Migos"	"T-Shirt"	5	7	7	5	+2
2017-03-25	"J. Cole"	"Deja Vu"	5	5	10	6	-1
2017-03-25	"Gucci Mane Featuring Drake"	"Both"	7	8	7	7	+1
2017-03-25	"Khalid"	"Location"	6	6	14	8	-2
2017-03-25	"Bruno Mars"	"24K Magic"	9	11	17	9	+2
2017-03-25	"DJ Khaled Featuring Beyonce & JAY Z"	"Shining"	9	9	4	10	-1
2017-03-25	"Rae Sremmurd Featuring Gucci Mane"	"Black Beatles"	1	10	22	11	-1
2017-03-25	"Chance The Rapper Featuring Lil Wayne & 2 Chainz"	"No Problem"	1	14	34	12	+2
2017-03-25	"Kevin Ross"	"Long Song Away"	13	20	18	13	+7
2017-03-25	"DJ Luke Nasty"	"OTW"	4	16	29	14	+2
2017-03-25	"Future Featuring Drake"	"Used To This"	7	13	16	15	-2
2017-03-25	"Travis Scott"	"Goosebumps"	16	28	8	16	+12
2017-03-25	"Amine"	"Caroline"	4	12	21	17	-5
2017-03-25	"KYLE Featuring Lil Yachty"	"iSpy"	18	31	5	18	+13
2017-03-25	"Rihanna"	"Love On The Brain"	11	17	21	19	-2
2017-03-25	"PARTYNEXTDOOR"	"Not Nice"	15	15	14	20	-5
2017-03-25	"Childish Gambino"	"Redbone"	21	33	3	21	+12
2017-03-25	"Fat Joe & Remy Ma Featuring Ty Dolla $ign"	"Money Showers"	22	22	9	22	0
2017-03-25	"Big Sean"	"Moves"	23	25	8	23	+2
2017-03-25	"Rihanna"	"Needed Me"	1	18	49	24	-6
2017-03-25	"Tory Lanez"	"Luv"	3	24	36	25	-1
2017-03-25	"Yuna"	"Best Love"	21	21	13	26	-5
2017-03-25	"Kehlani"	"Distraction"	27	27	7	27	0
2017-03-25	"Charlie Wilson Featuring T.I."	"I'm Blessed"	28	30	8	28	+2
2017-03-25	"Bibi Bourelly"	"Ballin"	26	26	9	29	-3
2017-03-25	"6LACK"	"Prblms"	30	34	5	30	+4
