date	artist	title	peakPos	lastPos	weeks	rank	change
2017-03-18	"Ed Sheeran"	"Shape Of You"	1	1	9	1	0
2017-03-18	"Zayn / Taylor Swift"	"I Don't Wanna Live Forever (Fifty Shades Darker)"	2	2	13	2	0
2017-03-18	"Rihanna"	"Love On The Brain"	3	3	20	3	0
2017-03-18	"The Weeknd Featuring Daft Punk"	"I Feel It Coming"	4	5	14	4	+1
2017-03-18	"Machine Gun Kelly x Camila Cabello"	"Bad Things"	1	4	19	5	-1
2017-03-18	"The Chainsmokers"	"Paris"	5	7	8	6	+1
2017-03-18	"Shawn Mendes"	"Mercy"	6	8	19	7	+1
2017-03-18	"Alessia Cara"	"Scars To Your Beautiful"	1	6	30	8	-2
2017-03-18	"Bruno Mars"	"That's What I Like"	7	13	7	9	+4
2017-03-18	"Clean Bandit Featuring Sean Paul & Anne-Marie"	"Rockabye"	9	11	11	10	+1
2017-03-18	"Katy Perry Featuring Skip Marley"	"Chained To The Rhythm"	10	14	4	11	+3
2017-03-18	"Maroon 5 Featuring Kendrick Lamar"	"Don't Wanna Know"	1	9	21	12	-3
2017-03-18	"Marian Hill"	"Down"	12	16	6	13	+3
2017-03-18	"Jon Bellion"	"All Time Low"	10	10	26	14	-4
2017-03-18	"Ariana Grande Featuring Nicki Minaj"	"Side To Side"	1	12	24	15	-3
2017-03-18	"Maroon 5 Featuring Future"	"Cold"	15	20	3	16	+4
2017-03-18	"Kygo x Selena Gomez"	"It Ain't Me"	17	21	3	17	+4
2017-03-18	"Julia Michaels"	"Issues"	16	19	6	18	+1
2017-03-18	"Bebe Rexha"	"I Got You"	17	17	13	19	-2
2017-03-18	"Ariana Grande Featuring Future"	"Everyday"	18	22	5	20	+2
2017-03-18	"Lady Gaga"	"Million Reasons"	17	25	13	21	+4
2017-03-18	"Noah Cyrus Featuring Labrinth"	"Make Me (Cry)"	22	23	10	22	+1
2017-03-18	"Drake"	"Fake Love"	16	18	13	23	-5
2017-03-18	"James Arthur"	"Say You Won't Let Go"	22	24	5	24	0
2017-03-18	"Linkin Park Featuring Kiiara"	"Heavy"	21	27	2	25	+2
2017-03-18	"Starley"	"Call On Me"	25	26	6	26	0
2017-03-18	"Big Sean"	"Bounce Back"	24	29	3	27	+2
2017-03-18	"The Chainsmokers & Coldplay"	"Something Just Like This"	28	39	2	28	+11
2017-03-18	"Zedd & Alessia Cara"	"Stay"	29	0	1	29	Hot Shot Debut
2017-03-18	"Lorde"	"Green Light"	26	0	1	30	New
2017-03-18	"Adele"	"Water Under The Bridge"	18	28	16	31	-3
2017-03-18	"Sabrina Carpenter"	"Thumbs"	30	32	6	32	0
2017-03-18	"Migos Featuring Lil Uzi Vert"	"Bad And Boujee"	31	31	6	33	-2
2017-03-18	"PARTYNEXTDOOR"	"Not Nice"	34	35	4	34	+1
2017-03-18	"Steve Aoki & Louis Tomlinson"	"Just Hold On"	35	36	3	35	+1
2017-03-18	"Martin Garrix & Dua Lipa"	"Scared To Be Lonely"	36	40	2	36	+4
2017-03-18	"Hey Violet"	"Guys My Age"	20	30	17	37	-7
2017-03-18	"Rae Sremmurd Featuring Gucci Mane"	"Black Beatles"	13	33	16	38	-5
2017-03-18	"Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj"	"Run Up"	38	0	1	39	New
2017-03-18	"Zara Larsson Featuring Ty Dolla $ign"	"So Good"	39	0	1	40	New
2017-03-11	"Ed Sheeran"	"Shape Of You"	1	1	8	1	0
2017-03-11	"Zayn / Taylor Swift"	"I Don't Wanna Live Forever (Fifty Shades Darker)"	2	2	12	2	0
2017-03-11	"Rihanna"	"Love On The Brain"	3	5	19	3	+2
2017-03-11	"Machine Gun Kelly x Camila Cabello"	"Bad Things"	1	3	18	4	-1
2017-03-11	"The Weeknd Featuring Daft Punk"	"I Feel It Coming"	4	6	13	5	+1
2017-03-11	"Alessia Cara"	"Scars To Your Beautiful"	1	4	29	6	-2
2017-03-11	"The Chainsmokers"	"Paris"	5	8	7	7	+1
2017-03-11	"Shawn Mendes"	"Mercy"	6	9	18	8	+1
2017-03-11	"Maroon 5 Featuring Kendrick Lamar"	"Don't Wanna Know"	1	7	20	9	-2
2017-03-11	"Jon Bellion"	"All Time Low"	10	11	25	10	+1
2017-03-11	"Clean Bandit Featuring Sean Paul & Anne-Marie"	"Rockabye"	9	12	10	11	+1
2017-03-11	"Ariana Grande Featuring Nicki Minaj"	"Side To Side"	1	10	23	12	-2
2017-03-11	"Bruno Mars"	"That's What I Like"	7	14	6	13	+1
2017-03-11	"Katy Perry Featuring Skip Marley"	"Chained To The Rhythm"	10	15	3	14	+1
2017-03-11	"The Chainsmokers Featuring Halsey"	"Closer"	1	13	30	15	-2
2017-03-11	"Marian Hill"	"Down"	12	17	5	16	+1
2017-03-11	"Bebe Rexha"	"I Got You"	17	18	12	17	+1
2017-03-11	"Drake"	"Fake Love"	16	16	12	18	-2
2017-03-11	"Julia Michaels"	"Issues"	16	19	5	19	0
2017-03-11	"Maroon 5 Featuring Future"	"Cold"	15	23	2	20	+3
2017-03-11	"Kygo x Selena Gomez"	"It Ain't Me"	21	30	2	21	+9
2017-03-11	"Ariana Grande Featuring Future"	"Everyday"	18	24	4	22	+2
2017-03-11	"Noah Cyrus Featuring Labrinth"	"Make Me (Cry)"	22	22	9	23	-1
2017-03-11	"James Arthur"	"Say You Won't Let Go"	22	26	4	24	+2
2017-03-11	"Lady Gaga"	"Million Reasons"	17	28	12	25	+3
2017-03-11	"Starley"	"Call On Me"	25	27	5	26	+1
2017-03-11	"Linkin Park Featuring Kiiara"	"Heavy"	21	0	1	27	Hot Shot Debut
2017-03-11	"Adele"	"Water Under The Bridge"	18	25	15	28	-3
2017-03-11	"Big Sean"	"Bounce Back"	24	33	2	29	+4
2017-03-11	"Hey Violet"	"Guys My Age"	20	21	16	30	-9
2017-03-11	"Migos Featuring Lil Uzi Vert"	"Bad And Boujee"	31	31	5	31	0
2017-03-11	"Sabrina Carpenter"	"Thumbs"	30	34	5	32	+2
2017-03-11	"Rae Sremmurd Featuring Gucci Mane"	"Black Beatles"	13	32	15	33	-1
2017-03-11	"Fitz And The Tantrums"	"HandClap"	29	29	11	34	-5
2017-03-11	"PARTYNEXTDOOR"	"Not Nice"	34	37	3	35	+2
2017-03-11	"Steve Aoki & Louis Tomlinson"	"Just Hold On"	36	40	2	36	+4
2017-03-11	"Calum Scott"	"Dancing On My Own"	35	36	8	37	-1
2017-03-11	"John Legend"	"Love Me Now"	19	35	19	38	-3
2017-03-11	"The Chainsmokers & Coldplay"	"Something Just Like This"	39	0	1	39	New
2017-03-11	"Martin Garrix & Dua Lipa"	"Scared To Be Lonely"	40	0	1	40	New
